category,material,use,exact_source,url,license,project_rule
Typography,Inter,Primary UI typeface; self-host locally.,Official project and stable release download,https://rsms.me/inter/,SIL Open Font License 1.1,"Do not use a runtime CDN. Download a stable release, record version/checksum, place outside this deliverable according to project policy."
Icons,Lucide static SVG,Single consistent 24px outline icon family.,Official icon browser,https://lucide.dev/icons/,ISC,"This pack already includes a reviewed subset from lucide-static 1.24.0. Use raw local SVG, not a runtime icon CDN."
Icons source,Lucide GitHub,"Versioned source, releases and license.",Official repository,https://github.com/lucide-icons/lucide,ISC,Pin icon source version and preserve license notice.
Enterprise layout reference,Tabler,Admin layout and component behavior reference only.,Official live template,https://tabler.io/admin-template,MIT,Do not add Bootstrap/Tabler runtime automatically. Use only as a reference unless architecture approval permits dependency change.
Enterprise source reference,Tabler GitHub,Inspect HTML/CSS patterns and responsive examples.,Official repository,https://github.com/tabler/tabler,MIT,Copy no full template blindly. Translate approved patterns into project tokens and semantic Django templates.
Data tables,Carbon data table,"Toolbar, sorting, selection, row actions, density and accessibility guidance.",Official component guidance,https://carbondesignsystem.com/components/data-table/usage/,Apache-2.0 code / IBM design resources subject to site terms,Reference behavior and anatomy; do not add Carbon React.
Empty states,Carbon empty states,Anatomy and accessible empty-state guidance.,Official pattern,https://carbondesignsystem.com/patterns/empty-states-pattern/,,Use for UX guidance; the project pack contains original empty/error/loading references.
AI transparency,Carbon AI label,Placement and explainability behavior for AI presence.,Official component guidance,https://carbondesignsystem.com/components/ai-label/usage/,,Use as pattern guidance; implement an original local AI badge and explanation panel.
Accessible patterns,USWDS,"Additional accessible form, table, alert and navigation guidance.",Official design system,https://designsystem.digital.gov/,Public-domain US government work plus third-party notices,Use guidance and testing ideas; do not import the full runtime without approval.
Optional illustrations,unDraw,Rare empty-state or onboarding illustrations only.,Official gallery,https://undraw.co/illustrations,unDraw license,Download selected SVG locally and record source; do not redistribute an unDraw asset pack. Prefer no illustration on dense operational screens.
Accessibility standard,WCAG 2.2,Mandatory AA design and manual test reference.,W3C Recommendation,https://www.w3.org/TR/WCAG22/,,Use current W3C normative text for accessibility decisions.
Frontend enhancement,htmx 2.0.9 stable,Bounded progressive enhancement only.,Official stable release page,https://github.com/bigskysoftware/htmx/releases/tag/v2.0.9,BSD 2-Clause,Do not use 4.0 beta for production. Vendor locally and record SHA-256 after approval.
Django templates,Django 5.2 templates,Server-rendered view and template baseline.,Official documentation,https://docs.djangoproject.com/en/5.2/topics/templates/,BSD-3-Clause,Follow the exact selected Django 5.2 patch and project conventions.
Django static assets,Django 5.2 static files,Local versioned CSS/JS/icon handling.,Official documentation,https://docs.djangoproject.com/en/5.2/howto/static-files/,BSD-3-Clause,Collect and serve locally; no runtime CDN.
