acceptance_id,acceptance_item,required_evidence,owner,result,evidence_link,exception_or_notes
ACC-H01,"Actual Truehost Starter account passes Python App, DB, Cron, SMTP/IMAP, SSL, resource and backup preflight.",Signed cPanel preflight,Technical owner,Open,,
ACC-H02,"Production/staging apps, DBs, secrets, files and mail interception are isolated.",Isolation tests,Technical owner,Open,,
ACC-H03,Django 5.2 LTS compatible patch and pinned dependencies install without compilation.,Release/dependency report,Technical owner,Open,,
ACC-H04,"No external runtime service, CDN, AI, queue, analytics or monitoring dependency exists.",Network/dependency review,Security owner,Open,,
ACC-H05,Database/file/inode baseline and capacity thresholds are green with required reserve.,Health dashboard,Operations owner,Open,,
ACC-H06,"Cron schedule is staggered, leased and bounded on the actual account.",Cron execution records,Operations owner,Open,,
ACC-H07,"Build identifier, release manifest and rollback package are complete.",Release artifact,Technical owner,Open,,
ACC-H08,"Maintenance, deploy, rollback and recovery procedures are rehearsed.",Staging rehearsal,Operations owner,Open,,
ACC-S01,"Invitation-only accounts, MFA, session revocation, lockout and step-up tests pass.",IAM suite,Security owner,Open,,
ACC-S02,"Role, record, field and portal object authorization matrices pass.",Authorization report,Security owner,Open,,
ACC-S03,"HTTPS, cookies, CSRF, CSP and other security-header profile pass.",Security scan,Technical owner,Open,,
ACC-S04,"XSS, SQL injection, header injection, open redirect and unsafe deserialization tests pass.",Security test results,Security owner,Open,,
ACC-S05,File upload/download controls block unsafe corpus and prevent public-path access.,File security suite,Security owner,Open,,
ACC-S06,"Secrets are absent from code, logs, support bundles and test data.",Secret/redaction scan,Technical owner,Open,,
ACC-S07,Audit events are complete and tamper-evident verification runs.,Audit verification,Auditor,Open,,
ACC-S08,"Consent, DNC, purpose suppression, unsubscribe and privacy-case workflows are approved.",Policy/UAT evidence,Privacy owner,Open,,
ACC-S09,"Retention schedule, legal-hold behavior and export approvals are approved.",Governance sign-off,Privacy owner,Open,,
ACC-S10,No unresolved critical/high security issue; medium findings have owners and accepted treatment.,Pen-test/code review,Sponsor + security,Open,,
ACC-D01,Canonical data dictionary and required/custom fields are approved.,Data dictionary,Data owner,Open,,
ACC-D02,Source inventory and migration mapping cover all authoritative legacy data.,Migration inventory,Data owner,Open,,
ACC-D03,Duplicate clusters/merge decisions are reviewed for high-risk records.,Identity resolution report,Business owners,Open,,
ACC-D04,"Migration dry runs reconcile counts, values, statuses, owners, files and rejects.",Reconciliation report,Data owner,Open,,
ACC-D05,Production migration is checkpointed/idempotent and records remain held until release.,Migration execution log,Technical/data,Open,,
ACC-D06,Imported records do not trigger unapproved outbound communication.,Mail/outbox verification,Product owner,Open,,
ACC-D07,Legacy source freeze/delta and rollback point are documented.,Cutover plan,Sponsor,Open,,
ACC-D08,Database growth projection remains within 425 MB critical threshold for planned horizon.,Capacity projection,Technical owner,Open,,
ACC-F01,"Customer 360, timeline, search, consent, files, duplicate and merge journeys pass.",UAT/functional suite,Product owner,Open,,
ACC-F02,Lead intake from each approved source creates one assigned actionable lead.,Lead UAT,Sales owner,Open,,
ACC-F03,"Response SLA, qualification, conversion and source attribution reconcile.",Sales report/UAT,Sales owner,Open,,
ACC-F04,"Opportunity stages enforce evidence, owner/next action and history.",Pipeline UAT,Sales owner,Open,,
ACC-F05,"Quote version, approval, issue, expiry and won/lost behavior pass.",Quote UAT,Sales owner,Open,,
ACC-F06,Won handoff creates one complete onboarding/success/renewal chain.,End-to-end UAT,Sales/onboarding,Open,,
ACC-F07,"Onboarding templates, portal inputs, blockers, progress and completion pass.",Onboarding UAT,Onboarding owner,Open,,
ACC-F08,"Support intake, threading, priority, SLA, waiting, resolve/reopen and knowledge pass.",Support UAT,Support owner,Open,,
ACC-F09,"Survey delivery, signed response, fatigue and low-score recovery pass.",Feedback UAT,Success owner,Open,,
ACC-F10,"Health, risk plan, renewal, churn, win-back and advocacy suggestion pass.",Success UAT,Success owner,Open,,
ACC-F11,Dashboards reconcile to drilldowns and permission-safe exports.,Reporting reconciliation,Product/QA,Open,,
ACC-F12,Portal core journeys pass mobile/accessibility and cross-customer isolation.,Portal UAT/security,Product/security,Open,,
ACC-A01,"SMTP/IMAP test mailboxes connect, send, receive, dedupe and recover on failure.",Mail integration report,Operations owner,Open,,
ACC-A02,Message threading and inbound reply stop future generic sequence reliably.,Thread/reply tests,QA,Open,,
ACC-A03,Transactional outbox and idempotency survive forced crash without duplicate effect.,Failure-injection report,Technical owner,Open,,
ACC-A04,"Suppression, purpose, low-feedback hold, quiet hours and frequency caps apply to manual and automated sends.",Policy test matrix,Product/privacy,Open,,
ACC-A05,Hard/soft bounce behavior and invalid-address suppression pass.,Bounce fixtures,Operations owner,Open,,
ACC-A06,"All 28 default workflows pass simulation, stop, retry, dead-letter and authorization tests.",Workflow pack,Process owners,Open,,
ACC-A07,"Workflow activation, rollback, in-flight policy and dependency analysis pass.",Automation UAT,Technical/product,Open,,
ACC-A08,Emergency stop halts new automated external effects within one cron interval.,Kill-switch exercise,Operations owner,Open,,
ACC-A09,Outbox respects 60/hour and 10/5-minute internal limits and provider headroom.,Throttle load test,Operations owner,Open,,
ACC-A10,No mass-mail recipient upload or arbitrary bulk-send path exists.,Feature/security review,Sponsor/security,Open,,
ACC-I01,Model/feature registry and model cards exist for every active intelligence use case.,Model inventory,AI/product owner,Open,,
ACC-I02,No customer data leaves the Truehost account for AI processing.,Code/network review,Security owner,Open,,
ACC-I03,Core operation degrades to rules/manual queues when AI is disabled.,Failure test,QA,Open,,
ACC-I04,"Predictions include version, feature snapshot, confidence, reasons, expiry and feedback path.",AI functional suite,AI owner,Open,,
ACC-I05,Observation/recommendation/automation tier is enforced and high-impact actions are prohibited.,Policy tests,Product/security,Open,,
ACC-I06,"Candidate evaluation uses time-safe holdout, baseline and minimum sample gates.",Evaluation report,AI reviewer,Open,,
ACC-I07,"No model auto-promotes; artifact checksum, approval, rollback and drift monitoring pass.",Governance exercise,Technical/AI,Open,,
ACC-I08,Severe misclassification/model incident runbook is exercised.,Tabletop record,AI/security,Open,,
ACC-N01,Web/search/mutation performance targets pass at representative dataset and mixed load.,Performance report,Technical owner,Open,,
ACC-N02,15-session capacity and cron contention test meets error/resource thresholds.,Load report,Technical owner,Open,,
ACC-N03,"WCAG 2.2 AA applicable journeys, keyboard, zoom and 360px tests pass.",Accessibility report,UX/QA,Open,,
ACC-N04,Supported browser matrix passes core staff/portal journeys.,Browser report,QA,Open,,
ACC-N05,Queue/mailbox/DB/files/inodes/logs/backups appear correctly in health dashboard.,Operations UAT,Operations owner,Open,,
ACC-N06,Backups are verified; selected set restores within RTO and meets measured RPO.,Restore report,Operations owner,Open,,
ACC-N07,"Housekeeping, archive retrieval and retention dry run pass.",Data operations report,Data owner,Open,,
ACC-N08,Security/operations/model/mail/capacity incident exercises are complete.,Exercise records,Owners,Open,,
ACC-N09,Runbooks and role-specific staff guides are complete and controlled.,Documentation register,Product/operations,Open,,
ACC-G01,"All staff accounts, roles, MFA, ownership, delegation and manager coverage are ready.",Access roster,Admin/managers,Open,,
ACC-G02,Company configuration decisions in Section 19.4 are signed.,Configuration sign-off,Sponsor/product,Open,,
ACC-G03,"Templates, sender identities, DNS/mail authentication and test sends are approved.",Communication sign-off,Privacy/operations,Open,,
ACC-G04,UAT-01 through UAT-15 are accepted by named business owners.,UAT register,Product owner,Open,,
ACC-G05,No release-blocking defect or unapproved exception remains.,Defect/exception register,Sponsor/QA,Open,,
ACC-G06,"Cutover, rollback, customer/staff communications and hypercare ownership are confirmed.",Go-live plan,Sponsor,Open,,
ACC-G07,Production smoke tests pass with customer effects intercepted.,Smoke report,Technical/QA,Open,,
ACC-G08,Controlled activation and observation thresholds are approved.,Go/no-go record,Sponsor,Open,,
