workflow_id,workflow,trigger,principal_actions,mandatory_stops_or_evidence,owner,implementation_status,simulation_evidence,test_pack,activation_status
WF-01,New lead intake,Accepted lead from form/email/manual/import release,Normalize/dedupe; assign owner; calculate rules score; create response task; send permitted acknowledgement.,Exit on duplicate/invalid/suppression; one acknowledgement per intake key.,,Not started,,,Draft
WF-02,Lead response SLA,Lead response warning/breach timers,Remind owner; escalate to manager; show exception; require disposition after breach.,"Stops on meaningful human response, disqualification or conversion.",,Not started,,,Draft
WF-03,Lead follow-up and reply stop,Eligible lead enters contacting,Create call/email tasks and bounded approved email steps.,"Immediate stop on reply, opt-out, complaint, stage change, manual hold or cap.",,Not started,,,Draft
WF-04,Lead staleness and disposition,No meaningful activity by state threshold,Refresh score; create next-action task; escalate; require nurture/pause/disqualify/continue decision.,No automatic disqualification; closes when owner records decision.,,Not started,,,Draft
WF-05,Nurture wake-up,Nurture review date reached,Re-check consent/fit; create owner review; optional approved low-frequency message.,"Stops on reply, DNC, invalid contact or renewed active qualification.",,Not started,,,Draft
WF-06,Duplicate review,New/changed record crosses duplicate threshold,Create merge-review recommendation with matched fields and risk.,Never auto-merges; closes on accept/reject/not-duplicate.,,Not started,,,Draft
WF-07,Opportunity stage SLA and stall,Stage entry plus no activity/overdue next action,Warn owner; recalculate risk; recommend next action; escalate slipped dates.,"Stops on valid transition, completed action, approved pause or closure.",,Not started,,,Draft
WF-08,Quote approval and issue,Quote requests approval / approval granted,Route reviewer; lock snapshot; generate document; create send draft; issue after guards.,Material edit invalidates approval; one issued event per version.,,Not started,,,Draft
WF-09,Quote expiry,Expiry windows reached,Notify owner; create follow-up; optionally send approved reminder; mark expired at deadline.,"Stops on acceptance, rejection, reply, replacement, closure or suppression.",,Not started,,,Draft
WF-10,Won handoff,Opportunity committed to Won,"Freeze outcome; create/link customer, onboarding and renewal; assign owners; create welcome draft and handoff checklist.",Atomic/idempotent; incomplete handoff blocks customer launch.,,Not started,,,Draft
WF-11,Lost/no-decision learning,Opportunity closed Lost/No decision,Stop sales sequence; capture reason; schedule eligible feedback; set reconsideration date.,No feedback when consent/fatigue/policy disallows; reply routes to owner.,,Not started,,,Draft
WF-12,Onboarding launch,Approved won handoff,Instantiate template; assign tasks; send welcome; request required information; set milestones.,One case per handoff; pauses on commercial/security hold.,,Not started,,,Draft
WF-13,Onboarding input reminders,Customer input due/overdue,Send bounded reminders; notify owner; escalate blocker after threshold.,"Stops on submission, reply, waiver, case pause/completion or cap.",,Not started,,,Draft
WF-14,Onboarding blocker escalation,High-impact blocker or missed milestone,Create blocker action; notify owners/managers; update health reason; send approved delay update.,Closes only with resolution/accepted exception and next plan.,,Not started,,,Draft
WF-15,Onboarding completion and feedback,All required outcomes met,Complete case; create success baseline; send completion note; schedule feedback/review.,Low feedback branches to recovery and suppresses advocacy.,,Not started,,,Draft
WF-16,"Support intake, acknowledgement and triage",New support email/form/portal ticket,Dedupe; link customer; acknowledge; classify/suggest priority; assign queue; start SLA.,Acknowledgement never stops human first-response clock.,,Not started,,,Draft
WF-17,Support SLA warning and breach,SLA warning/breach event,Notify owner; escalate by severity; create exception; require breach reason/corrective action.,Stops warning after compliant action; breach evidence remains immutable.,,Not started,,,Draft
WF-18,Waiting-for-customer management,Ticket enters waiting-for-customer,Schedule reminder(s); wake owner; close only under approved inactivity policy.,Reply immediately reopens/in-progress; no silent close after complaint.,,Not started,,,Draft
WF-19,"Resolution, reopen and CSAT",Ticket resolved / customer replies / validation window ends,Send resolution; schedule CSAT; reopen on unresolved reply; close after policy.,One CSAT per resolution interval; fatigue and suppression checked.,,Not started,,,Draft
WF-20,Low feedback and complaint recovery,Low survey score or severe complaint intent,Open recovery; assign senior owner; hold promotional/advocacy; require contact and outcome.,Hold ends only on documented recovery/authorized timed override.,,Not started,,,Draft
WF-21,Health deterioration and recovery plan,Health band worsens or critical reason appears,Notify success owner; create/update plan; surface evidence; set review cadence.,No repeated duplicate plan; closes when risk resolved/accepted.,,Not started,,,Draft
WF-22,Customer inactivity check-in,Meaningful interaction exceeds segment threshold,Verify active obligations/consent; create personal check-in task; suggest approved draft.,Automated sends alone do not reset timer; no forced contact under DNC.,,Not started,,,Draft
WF-23,Renewal 90/60/30,Configured renewal milestones,Create preparation tasks; compile issues/health; branch healthy vs at-risk; schedule reviews and controlled reminders.,One sequence per renewal cycle; at-risk branch suppresses generic ask.,,Not started,,,Draft
WF-24,Churn closure and win-back,Customer marked churned / cooling period reached,Stop active success workflows; capture reason; complete obligations; later assess win-back eligibility.,"Win-back requires permission, owner and explicit eligibility; stops on reply/opt-out.",,Not started,,,Draft
WF-25,Advocacy/referral suggestion,Validated positive feedback plus healthy relationship,Create staff recommendation for review/referral request with evidence.,"Never auto-sends; suppressed by active risk, recent ask or fatigue.",,Not started,,,Draft
WF-26,"Mailbox, delivery and suppression health","IMAP/SMTP failure, bounce or stale heartbeat",Retry transient errors; suppress hard bounce; create admin/customer-data tasks; alert on mailbox outage.,No uncontrolled retries; secrets excluded from logs.,,Not started,,,Draft
WF-27,"Jobs, capacity and data-integrity recovery","Dead letter, queue age, DB/storage threshold or invariant violation",Create severity incident; assign owner; stop risky jobs/features; support replay/repair.,Release block at critical capacity; resolution requires evidence.,,Not started,,,Draft
WF-28,Management digests and AI review,Daily/weekly schedule and model review date,Send scoped action digest; aggregate KPIs; evaluate model drift/outcomes; create review task.,No sensitive details in subject; candidate models never auto-promote.,,Not started,,,Draft
